,dealer_up_card,dealer_up_card_value,dealer_final_hand_value,dealer_busted,dealer_blackjack,dealer_final_hand,player_hand,player_hand_value,player_busted,player_blackjack,player_won,player_stack
64,AD,1,21,False,True,"[<Card.Card object at 0x000001E822082280>, <Card.Card object at 0x000001E822013310>]","[<Card.Card object at 0x000001E822077910>, <Card.Card object at 0x000001E822077F70>, <Card.Card object at 0x000001E82201B190>]",19,False,False,0,
65,6H,6,23,True,False,"[<Card.Card object at 0x000001E822082D00>, <Card.Card object at 0x000001E822087250>, <Card.Card object at 0x000001E822087490>]","[<Card.Card object at 0x000001E822087910>, <Card.Card object at 0x000001E82201FB50>]",12,False,False,0,
66,QC,10,20,False,False,"[<Card.Card object at 0x000001E8220875E0>, <Card.Card object at 0x000001E822082310>]","[<Card.Card object at 0x000001E821FF9E20>, <Card.Card object at 0x000001E8220260D0>]",13,False,False,0,
67,6H,6,24,True,False,"[<Card.Card object at 0x000001E822074490>, <Card.Card object at 0x000001E82201FE20>, <Card.Card object at 0x000001E82201B3D0>]","[<Card.Card object at 0x000001E822024820>, <Card.Card object at 0x000001E82201FC40>]",17,False,False,0,
68,KD,10,17,False,False,"[<Card.Card object at 0x000001E822087130>, <Card.Card object at 0x000001E82207DB80>]","[<Card.Card object at 0x000001E82208C520>, <Card.Card object at 0x000001E822064C10>]",14,False,False,0,
69,5S,5,26,True,False,"[<Card.Card object at 0x000001E82207D430>, <Card.Card object at 0x000001E822024BB0>, <Card.Card object at 0x000001E822024130>, <Card.Card object at 0x000001E8220878E0>]","[<Card.Card object at 0x000001E822074640>, <Card.Card object at 0x000001E822074B50>]",15,False,False,0,
70,9C,9,19,False,False,"[<Card.Card object at 0x000001E82208C220>, <Card.Card object at 0x000001E822087A60>]","[<Card.Card object at 0x000001E82207D4F0>, <Card.Card object at 0x000001E8220924F0>, <Card.Card object at 0x000001E8220743D0>]",21,False,False,1,
71,5H,5,25,True,False,"[<Card.Card object at 0x000001E82201F850>, <Card.Card object at 0x000001E822026700>, <Card.Card object at 0x000001E82201D850>]","[<Card.Card object at 0x000001E82207D130>, <Card.Card object at 0x000001E8220649D0>]",16,False,False,0,
72,4C,4,20,False,False,"[<Card.Card object at 0x000001E82207DD60>, <Card.Card object at 0x000001E822022E20>, <Card.Card object at 0x000001E822087D90>]","[<Card.Card object at 0x000001E82207DA00>, <Card.Card object at 0x000001E82208C7C0>]",19,False,False,0,
73,9H,9,17,False,False,"[<Card.Card object at 0x000001E8220244F0>, <Card.Card object at 0x000001E822013400>, <Card.Card object at 0x000001E822077730>]","[<Card.Card object at 0x000001E82200CFA0>, <Card.Card object at 0x000001E822013F40>]",17,False,False,0,
74,6S,6,22,True,False,"[<Card.Card object at 0x000001E82207D670>, <Card.Card object at 0x000001E822087C70>, <Card.Card object at 0x000001E82208C460>, <Card.Card object at 0x000001E82208CA00>]","[<Card.Card object at 0x000001E82200C7F0>, <Card.Card object at 0x000001E822074D30>]",14,False,False,0,
75,2S,2,26,True,False,"[<Card.Card object at 0x000001E82207D220>, <Card.Card object at 0x000001E82207D760>, <Card.Card object at 0x000001E82201D6A0>, <Card.Card object at 0x000001E822082550>, <Card.Card object at 0x000001E822077DC0>]","[<Card.Card object at 0x000001E8220879D0>, <Card.Card object at 0x000001E8220774F0>]",16,False,False,0,
76,6D,6,23,True,False,"[<Card.Card object at 0x000001E8220642E0>, <Card.Card object at 0x000001E8220744F0>, <Card.Card object at 0x000001E82201B820>]","[<Card.Card object at 0x000001E822087790>, <Card.Card object at 0x000001E822024430>]",17,False,False,0,
77,9H,9,19,False,False,"[<Card.Card object at 0x000001E822082A30>, <Card.Card object at 0x000001E82208CE80>]","[<Card.Card object at 0x000001E82201B580>, <Card.Card object at 0x000001E822022BB0>]",13,False,False,0,
78,6C,6,22,True,False,"[<Card.Card object at 0x000001E82201BB80>, <Card.Card object at 0x000001E8220136A0>, <Card.Card object at 0x000001E822087BE0>, <Card.Card object at 0x000001E822092520>, <Card.Card object at 0x000001E8220776D0>]","[<Card.Card object at 0x000001E82207D610>, <Card.Card object at 0x000001E82205E670>]",17,False,False,0,
79,6S,6,26,True,False,"[<Card.Card object at 0x000001E822024940>, <Card.Card object at 0x000001E822077820>, <Card.Card object at 0x000001E82207D2E0>]","[<Card.Card object at 0x000001E822087EE0>, <Card.Card object at 0x000001E822092B50>]",17,False,False,0,
80,TC,10,17,False,False,"[<Card.Card object at 0x000001E82208C340>, <Card.Card object at 0x000001E822074100>, <Card.Card object at 0x000001E822026A90>]","[<Card.Card object at 0x000001E822087CA0>, <Card.Card object at 0x000001E82205E250>]",15,False,False,0,
81,7H,7,21,False,False,"[<Card.Card object at 0x000001E822074850>, <Card.Card object at 0x000001E822098160>, <Card.Card object at 0x000001E8220986A0>]","[<Card.Card object at 0x000001E822092310>, <Card.Card object at 0x000001E822082F40>, <Card.Card object at 0x000001E82205EAC0>]",18,False,False,0,
82,QH,10,23,True,False,"[<Card.Card object at 0x000001E82208CB50>, <Card.Card object at 0x000001E82208CBE0>, <Card.Card object at 0x000001E822092730>]","[<Card.Card object at 0x000001E822098580>, <Card.Card object at 0x000001E822092280>]",12,False,False,0,
83,2C,2,20,False,False,"[<Card.Card object at 0x000001E82201DDF0>, <Card.Card object at 0x000001E82207DD00>, <Card.Card object at 0x000001E822098460>]","[<Card.Card object at 0x000001E822098D60>, <Card.Card object at 0x000001E822092A90>]",17,False,False,0,
84,QH,10,20,False,False,"[<Card.Card object at 0x000001E822092C70>, <Card.Card object at 0x000001E822026340>, <Card.Card object at 0x000001E822064DF0>]","[<Card.Card object at 0x000001E82207D490>, <Card.Card object at 0x000001E822098850>]",12,False,False,0,
85,QC,10,19,False,False,"[<Card.Card object at 0x000001E822098A30>, <Card.Card object at 0x000001E82201B6D0>]","[<Card.Card object at 0x000001E82201F640>, <Card.Card object at 0x000001E822090070>]",13,False,False,0,
86,AC,1,21,False,False,"[<Card.Card object at 0x000001E822077D90>, <Card.Card object at 0x000001E822092D30>, <Card.Card object at 0x000001E82208C250>]","[<Card.Card object at 0x000001E822092190>, <Card.Card object at 0x000001E82208C0A0>]",13,False,False,0,
87,7H,7,17,False,False,"[<Card.Card object at 0x000001E82200CE50>, <Card.Card object at 0x000001E82207D850>]","[<Card.Card object at 0x000001E82205E280>, <Card.Card object at 0x000001E822087BB0>, <Card.Card object at 0x000001E822087F40>]",21,False,False,1,
88,8S,8,21,False,False,"[<Card.Card object at 0x000001E822077B80>, <Card.Card object at 0x000001E822092DC0>, <Card.Card object at 0x000001E822024A60>]","[<Card.Card object at 0x000001E82201BC70>, <Card.Card object at 0x000001E82208CAF0>, <Card.Card object at 0x000001E822082BE0>]",18,False,False,0,
89,9C,9,25,True,False,"[<Card.Card object at 0x000001E822090820>, <Card.Card object at 0x000001E82208C730>, <Card.Card object at 0x000001E82207D7C0>]","[<Card.Card object at 0x000001E822090640>, <Card.Card object at 0x000001E822087E50>]",18,False,False,0,
90,TC,10,26,True,False,"[<Card.Card object at 0x000001E822024E50>, <Card.Card object at 0x000001E82207D1F0>, <Card.Card object at 0x000001E822082C70>]","[<Card.Card object at 0x000001E82201F2B0>, <Card.Card object at 0x000001E82205EF70>]",12,False,False,0,
91,AD,1,21,False,True,"[<Card.Card object at 0x000001E8220904C0>, <Card.Card object at 0x000001E8220925B0>]","[<Card.Card object at 0x000001E8220222E0>, <Card.Card object at 0x000001E82201D3D0>, <Card.Card object at 0x000001E822098EE0>]",20,False,False,0,
92,QD,10,22,True,False,"[<Card.Card object at 0x000001E82205E9A0>, <Card.Card object at 0x000001E822026850>, <Card.Card object at 0x000001E822087190>]","[<Card.Card object at 0x000001E822090970>, <Card.Card object at 0x000001E82205EEE0>]",21,False,True,1,
93,5D,5,17,False,False,"[<Card.Card object at 0x000001E822098AF0>, <Card.Card object at 0x000001E822074F40>, <Card.Card object at 0x000001E8220906D0>]","[<Card.Card object at 0x000001E8220647C0>, <Card.Card object at 0x000001E822098A00>, <Card.Card object at 0x000001E822064CA0>]",16,False,False,0,
94,8S,8,18,False,False,"[<Card.Card object at 0x000001E82207D340>, <Card.Card object at 0x000001E82208CD30>]","[<Card.Card object at 0x000001E822090220>, <Card.Card object at 0x000001E822013370>, <Card.Card object at 0x000001E822064670>]",17,False,False,0,
95,QS,10,20,False,False,"[<Card.Card object at 0x000001E8220648B0>, <Card.Card object at 0x000001E822090F40>]","[<Card.Card object at 0x000001E8220A2220>, <Card.Card object at 0x000001E822064E80>]",13,False,False,0,
96,5S,5,23,True,False,"[<Card.Card object at 0x000001E822098700>, <Card.Card object at 0x000001E822098F70>, <Card.Card object at 0x000001E82207DF70>]","[<Card.Card object at 0x000001E8220228E0>, <Card.Card object at 0x000001E822090C10>]",14,False,False,0,
97,JH,10,20,False,False,"[<Card.Card object at 0x000001E82201B220>, <Card.Card object at 0x000001E822090880>]","[<Card.Card object at 0x000001E822087730>, <Card.Card object at 0x000001E82201D430>]",18,False,False,0,
98,7C,7,18,False,False,"[<Card.Card object at 0x000001E8220A2880>, <Card.Card object at 0x000001E822092670>, <Card.Card object at 0x000001E822092FD0>]","[<Card.Card object at 0x000001E8220A29D0>, <Card.Card object at 0x000001E822090550>, <Card.Card object at 0x000001E82207DCA0>, <Card.Card object at 0x000001E82201D730>]",17,False,False,0,
99,4H,4,26,True,False,"[<Card.Card object at 0x000001E822090C70>, <Card.Card object at 0x000001E8201E5E20>, <Card.Card object at 0x000001E822087580>, <Card.Card object at 0x000001E8220A8400>]","[<Card.Card object at 0x000001E8220924C0>, <Card.Card object at 0x000001E822090A30>]",16,False,False,0,
100,QS,10,20,False,False,"[<Card.Card object at 0x000001E822098E50>, <Card.Card object at 0x000001E822090EB0>]","[<Card.Card object at 0x000001E8220A2040>, <Card.Card object at 0x000001E82201DD00>]",15,False,False,0,
101,TS,10,24,True,False,"[<Card.Card object at 0x000001E822092BE0>, <Card.Card object at 0x000001E8220A2D90>, <Card.Card object at 0x000001E82200CFD0>, <Card.Card object at 0x000001E822098190>]","[<Card.Card object at 0x000001E8220923A0>, <Card.Card object at 0x000001E8220A2FD0>, <Card.Card object at 0x000001E822022310>]",12,False,False,0,
